STORE NAME#@LICENSE ID#@ACCOUNT NUMBER#@SQUARE FEET#@BUFFER SIZE#@ADDRESS#@ZIP CODE#@COMMUNITY AREA NAME#@COMMUNITY AREA#@WARD#@CENSUS TRACT#@CENSUS BLOCK#@X COORDINATE#@Y COORDINATE#@LATITUDE#@LONGITUDE#@LOCATION
A & R FOOD MART#@9125#@4227#@2500#@B#@5952 W GRAND AVE#@60639#@BELMONT CRAGIN#@19#@37#@17031191302#@170311913021018#@1136148.46455739#@1914149.5267326#@41.9205964582#@-87.7751926809#@(41.9205964582, -87.7751926809)"
A & R FOOD MART#@1954411#@340750#@3500#@B#@5952 W GRAND AVE#@60639#@BELMONT CRAGIN#@19#@37#@17031191302#@170311913021018#@1136148.46455739#@1914149.5267326#@41.9205964582#@-87.7751926809#@(41.9205964582, -87.7751926809)"
ARISTA FOODS#@1473367#@271891#@10000#@A#@112 N MAY ST#@60607#@NEAR WEST SIDE#@28#@27#@17031833000#@170318330002084#@1168768.82658692#@1900830.15581926#@41.8834021216#@-87.6557252931#@(41.8834021216, -87.6557252931)"
ARMITAGE PRODUCE INC#@1771323#@4469#@14340#@A#@2007 N KIMBALL AVE#@60647#@LOGAN SQUARE#@22#@35#@17031221100#@170312211002029#@1153421.138781#@1913162.67174772#@41.9175624189#@-87.7117551087#@(41.9175624189, -87.7117551087)"
AROUND THE CLOCK#@15860#@6777#@3000#@B#@1605 W HOWARD ST#@60626#@ROGERS PARK#@1#@49#@17031010202#@170310102021000#@1164071.30189687#@1950305.43608011#@42.0192651821#@-87.6715720734#@(42.0192651821, -87.6715720734)"
ASHLAND FOOD AND LIQUORS#@11636#@5463#@10001#@A#@1554 W 95TH ST#@60643#@WASHINGTON HEIGHTS#@73#@21#@17031730201#@170317302011018#@1167375.75054076#@1841756.37259055#@41.7213269867#@-87.6625336585#@(41.7213269867, -87.6625336585)"
ATHENS GROCERY#@971#@185#@2600#@B#@324 S HALSTED ST#@60661#@NEAR WEST SIDE#@28#@27#@17031833100#@170318331001028#@1171063.7903605#@1898574.39620696#@41.8771621281#@-87.6473642897#@(41.8771621281, -87.6473642897)"
AVENUE FOOD MAR INC#@1246771#@20727#@18000#@A#@6850 W BELMONT AVE#@60634#@DUNNING#@17#@36#@17031171000#@170311710003022#@1129966.48055997#@1920538.73039181#@41.938237376#@-87.7977603483#@(41.9382373760, -87.7977603483)"
AWAMI BAZAAR & ZABIHA MEAT#@68226#@20954#@2500#@B#@2340 W DEVON AVE#@60659#@WEST RIDGE#@2#@50#@17031020500#@170310205002005#@1159376.82190602#@1942466.67801098#@41.9978536894#@-87.6890642657#@(41.9978536894, -87.6890642657)"
Baltimore Food & Liquor#@1446831#@270755#@3404#@B#@13322 S BALTIMORE AVE#@60633#@HEGEWISCH#@55#@10#@17031550100#@170315501004012#@1199061.97499842#@1817112.13022907#@41.6529646117#@-87.5472986528#@(41.6529646117, -87.5472986528)"
BARI#@1245246#@246600#@2500#@B#@1120 W GRAND AVE#@60622#@WEST TOWN#@24#@27#@17031243500#@170312435001021#@1168791.298953#@1903675.74161138#@41.8912101212#@-87.6555602414#@(41.8912101212, -87.6555602414)"
BERBATE FRUIT MARKET#@1646036#@296646#@2500#@B#@3956 N NARRAGANSETT AVE#@60634#@DUNNING#@17#@38#@17031170300#@170311703001000#@1132942.48460332#@1925839.43965795#@41.9527315616#@-87.7866984426#@(41.9527315616, -87.7866984426)"
B & H FOOD & GROCERY#@6068#@3550#@4500#@B#@713 S ALBANY AVE#@60612#@EAST GARFIELD PARK#@27#@28#@17031837300#@170318373001010#@1155850.7566169#@1896704.14859663#@41.872350043#@-87.7032726418#@(41.8723500430, -87.7032726418)"
